"pad_id","source","sum_of_emissions_first_scan","sum_of_emissions_second_scan"
20,"aerial",0,0
113,"psna",0,0
90,"aerial",0,0
114,"psna",0,0
97,"aerial",0,0
146,"psna",3.94551583490383,0
137,"psna",0,0
120,"psna",0,1.52049288403972
136,"psna",0,0
126,"psna",6.80115986723909,4.44229252731014
198,"psnb",0,0
196,"psnb",0,70.737244200807
87,"aerial",0,0.0854056583595538
155,"psnb",8.87800542733083,0
76,"aerial",0,0
188,"psnb",0,1.22059761266218
154,"psnb",0,1.04439909751959
23,"aerial",0,0
171,"psnb",38.9086819864001,39.2226663095421
194,"psnb",0,0
200,"psnb",5.39034324742752,0
168,"psnb",0,0
6,"aerial",0,0
185,"psnb",0,0
161,"psnb",0,0
65,"aerial",0,0.95411417963305
172,"psnb",0,1.36609063850065
175,"psnb",0,0
10,"aerial",0,0
180,"psnb",0,0
32,"aerial",0,0
151,"psnb",2.5830822038866,0
152,"psnb",0,0
186,"psnb",0,0
156,"psnb",0,0
40,"aerial",0,1.8780307764437
164,"psnb",0,3.37210721761935
181,"psnb",123.419921352613,1.12395791909887
174,"psnb",0,0
173,"psnb",9.67637349550519,8.36497440180519
42,"aerial",0,2.53263691857639
189,"psnb",0,0
163,"psnb",0,1.02985283732493
192,"psnb",7.0047063550314,0
183,"psnb",0,0
33,"aerial",0,0
44,"aerial",0,0.48437726273461
157,"psnb",4.60325303492151,7.55333386122953
176,"psnb",0,1.75511703707545
162,"psnb",3.86449429881717,0
178,"psnb",0,0
167,"psnb",7.61457921940872,11.5953163929045
118,"psna",2.70129686721637,16.4040340586849
7,"aerial",0,6.13069031933163
19,"aerial",0,12.6333463797383
169,"psnb",0,0
182,"psnb",0,0
153,"psnb",0,0
49,"aerial",0,0
187,"psnb",0,2.17210201981332
166,"psnb",0,2.86386269138634
11,"aerial",20.8383329765214,0
105,"psna",0,4.23130156891302
45,"aerial",0,0
99,"aerial",16.9341529891469,0
193,"psnb",0,11.9552555881982
88,"aerial",0,0
191,"psnb",0,0
179,"psnb",0,2.07140519630549
159,"psnb",7.3185161098697,4.37102052228436
190,"psnb",0,1.30245698223881
170,"psnb",0,14.5053489556864
25,"aerial",0,0
75,"aerial",0,0
72,"aerial",0,0
93,"aerial",0,0
41,"aerial",0,0
47,"aerial",0,0
15,"aerial",0,0
66,"aerial",0,0
62,"aerial",0,0
59,"aerial",0,0
83,"aerial",0,0
29,"aerial",0,0
94,"aerial",0,0
197,"psnb",0,4.79308944731249
92,"aerial",0,0
34,"aerial",0,2.76984801083532
84,"aerial",0,1.12801785204971
8,"aerial",0,0
199,"psnb",0,0
43,"aerial",0,0
85,"aerial",0,0
158,"psnb",0,0
31,"aerial",0,2.03945003491995
184,"psnb",0,0
4,"aerial",32.3876511122548,0
53,"aerial",0,0
68,"aerial",0,0
51,"aerial",0,0
52,"aerial",0.352330418853964,3.94704322380109
26,"aerial",1.14199969343811,0
195,"psnb",0,0
61,"aerial",0,0
79,"aerial",0,51.3910941342517
1,"aerial",0,0
80,"aerial",0,0
130,"psna",5.30050554632013,47.2466476762373
67,"aerial",0,0
71,"aerial",0,0
13,"aerial",0,2.76576545998619
27,"aerial",0,0
22,"aerial",0,0
142,"psna",0,0
17,"aerial",0,0
14,"aerial",0,1.56741767350571
24,"aerial",0,0
77,"aerial",3.61249729021404,0
63,"aerial",0,0
145,"psna",0,1.5840947489855
147,"psna",0,0
55,"aerial",0,0
127,"psna",0,0
128,"psna",0,0
131,"psna",0,0
121,"psna",0,1.3229874649779
100,"aerial",0,0
60,"aerial",6.11930776460326,0
111,"psna",0,0
89,"aerial",0,2.72719784801928
46,"aerial",0,0
104,"psna",0,0
103,"psna",0,0
116,"psna",0,0
160,"psnb",0,3.51419339921025
150,"psna",0.404069054619097,0
123,"psna",1.11777343633607,0
69,"aerial",0,3.46015366174569
64,"aerial",0,0
48,"aerial",0,0
50,"aerial",0,0
57,"aerial",7.39666182424641,0
28,"aerial",0,0
110,"psna",0,0.658922821582717
101,"psna",0,0
135,"psna",580.630817874319,19.3072571085413
30,"aerial",0,0
58,"aerial",0,0
124,"psna",0,0
138,"psna",0,0
122,"psna",0,0
108,"psna",0,5.12609489432864
149,"psna",2.62296800753554,1.09539489641588
129,"psna",4.1018638833089,9.63242362924613
54,"aerial",0,0
81,"aerial",0,0
119,"psna",0,4.44529542156165
165,"psnb",0,0
3,"aerial",6.72380592904654,2.59575728008926
38,"aerial",0,0.741673857877253
133,"psna",8.06966691545967,0
141,"psna",0,0
112,"psna",0,0
106,"psna",3.05231771096623,0
132,"psna",0.801067163759753,0.856332462003404
56,"aerial",0,0
91,"aerial",0,0
82,"aerial",0,0
16,"aerial",0,1.38528972587366
9,"aerial",0,0
134,"psna",0,0
74,"aerial",0,2.76622066521351
39,"aerial",0,0
5,"aerial",0,4.34186340660581
109,"psna",0,5.62102734895057
107,"psna",0,0
143,"psna",0,0
96,"aerial",0,0
86,"aerial",0,1.73149910264929
139,"psna",0,2.69710887897706
18,"aerial",0,0
144,"psna",0,0
2,"aerial",0,2.00620307938959
12,"aerial",0,1.80384007614791
117,"psna",0,0.565425682651104
102,"psna",0.801491986572636,0
148,"psna",1.20040052385153,0
73,"aerial",0,0
95,"aerial",0,0
140,"psna",0,0.161391467247757
21,"aerial",0,0.349310131870258
115,"psna",0,0
35,"aerial",0,0
78,"aerial",0,0.341075968746692
125,"psna",0,2.0829093697994
177,"psnb",0,1.57290886506631
37,"aerial",0,0
98,"aerial",0,0
70,"aerial",0.943561832868354,5.55105575120906
36,"aerial",0,20.8899501923284
