"pad_id","source","ghgrp","total_gas_prod_mcf_vol_Jan","total_gas_prod_mcf_vol_Feb","total_gas_prod_mcf_vol_Mar","total_gas_prod_mcf_vol_Apr","total_gas_prod_mcf_vol_May","total_gas_prod_mcf_vol_Jun","total_gas_prod_mcf_vol_Jul","total_gas_prod_mcf_vol_Aug","total_gas_prod_mcf_vol_Sep","total_gas_prod_mcf_vol_Oct","total_gas_prod_mcf_vol_Nov","total_gas_prod_mcf_vol_Dec","age","total_prod","prod_strata"
20,"aerial",0,4630.51981998616,7446.48962539048,10793.1929369708,10034.2908959833,9899.33065201019,8913.86849001392,8289.6873466649,9168.5637394536,7863.36662470093,7692.6454560775,7840.34663498288,6877.17904906576,14,99449.4812713004,"Standard"
113,"psna",0,5286.63642327376,4727.98938998855,3251.01984863555,53901.3714898071,73310.9827397366,54019.3530979235,41446.1915293174,38280.1606517552,29969.9022140299,27143.6580033516,21233.1831749036,21749.6765493579,13,374320.125112081,"Standard"
90,"aerial",1.24484541376191,1891.51760911274,3788.00719591951,4416.10360491954,2724.2573081248,4369.55338457498,4434.52718069619,3674.75654657027,48.3795769959856,3401.07709510742,4715.7500919411,4030.56180793382,4564.12078362496,13,42058.6121855213,"Standard"
114,"psna",2.42461205544232,4483.28985766498,3698.22500154113,2897.12536486772,0,4048.55305854635,5465.22237162254,4066.01389590049,1388.92866568057,2095.3369731718,256227.311949823,1023965.31622992,1005946.89820287,4,2314282.2215716,"High"
97,"aerial",0.292281965785172,2207.52388205593,2444.32798348391,2449.91920707672,2290.66241991671,1479.44690224139,491.885690393396,577.691725102103,532.862244956793,1631.24491998777,2574.78492882126,1231.74252096876,2596.51710253593,13,20508.6095275407,"Marginal"
146,"psna",1.69108628284896,62914.6777721663,48796.9644824863,52343.7430098801,43088.0761024805,39667.1356856254,33244.7896443428,33100.0046752262,31123.009465113,27697.367389233,25866.8730860152,25642.7045380505,23096.7965824938,13,446582.142433113,"Standard"
137,"psna",0,10618.7099509081,8723.67344364744,6004.27081776404,9179.69173158061,287.483364042692,205.404940870129,350.232477257001,228.940530855263,549.959900742838,241.591449402561,122.972202794132,12277.646931266,13,48790.5777411309,"Standard"
120,"psna",0.542910286200516,31826.0661682427,23202.055908125,19345.0050070717,17264.9968424885,14350.2950239164,12534.4087442913,11707.3896831294,10669.003195418,9241.92489657929,8380.56386543112,8637.04609953317,8229.70664095969,10,175388.462075186,"Standard"
136,"psna",0,8694.56046444162,8654.13069102597,9398.41760193939,8718.39494889161,9753.11516186833,7688.21877536804,9278.11361891844,8692.84929437486,8798.05062131935,9964.28679844112,8710.91865308722,9065.56525747534,8,107416.621887151,"Standard"
126,"psna",11.6747166693318,2007430.84121045,1779079.20325041,1970022.22881306,1672818.47623517,1497193.84042654,1405869.53744733,1412254.5822802,1230309.95116139,1074246.8841559,996966.554050662,868699.225090285,823793.663008704,1,16738684.9871301,"High"
198,"psnb",0.627913975248517,95826.3340046843,73539.5043718281,83509.0788632573,47261.8053515419,62696.6216542039,84817.0259506306,79193.773996167,77927.7406066095,79571.0928716428,51815.8411086568,23488.9090432567,102815.212367716,6,862462.940190195,"High"
196,"psnb",5.49877091083302,16791.8045736936,13531.8700401295,11556.2170476214,18601.7203069458,13268.5582271664,11890.718819124,10576.9816417713,8108.33004438445,9537.65191486952,8604.08269518603,9070.30780743239,5599.79273543479,11,137138.035853759,"Standard"
87,"aerial",5.04741228619051,11032.7172415948,7616.87978266917,10468.6090627622,10303.7093121139,8190.59530880842,6714.30362427791,11553.3941176205,10806.1973839118,9657.37083638386,8052.12522988615,10495.7352678587,6651.04967404535,11,111542.686841933,"Standard"
155,"psnb",2.7084350897591,13799.0688643723,15008.1213282214,15264.680818201,12675.0013589856,13637.5152674408,12911.4686636459,13010.9708315249,12175.6296426977,11372.0799420663,12426.8372989826,11235.6049144362,11958.088209715,8,155475.06714029,"Standard"
76,"aerial",0.228232704924867,37650.6370871762,31251.5255906744,36666.1497899374,34769.3971655212,28244.0341107591,40681.1199906555,34330.2354379704,27126.0580974247,37964.4220656581,32577.0919603609,28030.4877082066,29612.2857425163,10,398903.444746861,"Standard"
188,"psnb",1.75959906591966,69968.8779296458,46190.6906267882,66303.6151345398,57925.4790909645,60126.5127818158,55838.3946299786,51074.9261605544,48672.4043853242,32200.8380826889,49078.414369669,21663.9747882396,60134.0363756513,9,619178.16435586,"Standard"
154,"psnb",1.71057043445976,166987.391368648,137860.54073365,451376.800112959,520858.413454483,503274.287123006,401513.754480862,418968.454746661,399420.358590382,381753.922945584,305979.43119685,273910.747493237,313360.891718361,3,4275264.99396468,"High"
23,"aerial",0.489569910841653,20047.6471056158,19286.077486865,22091.9102412083,23899.145065592,23540.6370880254,20710.6746158878,20777.4022000626,22952.760507626,21216.3446369255,21958.9582406422,22035.1571549885,21775.272157529,6,260291.986500968,"Standard"
171,"psnb",33.1536764568931,258801.622118104,214644.240421679,137711.53641808,214755.362002648,98666.8559353397,136336.898667789,108217.516139988,140503.384697443,127522.821808342,11753.9993187689,0,0,3,1448914.23752818,"High"
194,"psnb",1.66694360706238,95673.1232683356,81990.8679433666,93937.4324939363,85565.7682785461,93825.4231976318,78010.0728963289,82793.0728797823,88188.4057436331,79481.6356658019,82961.0432500443,76330.2597501438,68187.5474400031,6,1006944.65280755,"High"
200,"psnb",4.06836943056236,14842.858706009,1948.90192754395,2374.27559635662,1332.85716631938,1377.62205248327,5315.59033520148,3475.09243914721,5088.89117619907,6119.43563992792,6324.88565712415,5664.56286114857,5511.83420209575,12,59376.8077595564,"Standard"
168,"psnb",0.0541509983914062,34538.137055866,0,96741.7900987494,39650.4589040517,54490.9531673919,39636.4021023244,43949.1404431027,35910.7002782073,34687.5937724541,31903.6701795296,15342.5472204879,17935.6690367754,6,444787.06225894,"Standard"
